#{"t_start": 1780804866.2830248, "env_id": "None"}
r,l,t
-35.441004,23,1.910746
-35.970589,21,1.919674
-33.798706,25,1.925601
-33.85276,19,1.935801
-36.871158,55,2.301568
-35.146489,15,2.401214
-33.511978,34,2.620881
-35.344443,25,2.781989
-31.384443,49,3.070989
-34.339758,25,3.224181
-35.556748,23,3.370608
-28.184429,36,3.61066
-34.116458,25,3.763972
-33.803396,23,3.908017
-34.099954,19,4.018211
-35.443179,19,4.120684
-33.488248,16,4.207799
-34.29331,16,4.307691
-34.913044,18,4.415673
-33.927549,17,4.954459
-35.098162,15,5.055297
-33.784806,15,5.161466
-35.844975,18,5.260893
-37.178668,18,5.344179
-37.415148,18,5.444707
-37.268226,18,5.569714
-37.406479,18,5.670824
-33.390481,19,5.814233
-37.837273,18,5.928546
-34.128195,20,6.045512
-34.32946,20,6.16065
-38.59302,17,6.269309
-38.040539,20,6.381221
-38.106245,18,6.496288
-34.127215,20,6.624933
-37.36623,18,6.712222
-33.5599,18,6.792378
-34.706202,16,6.899651
-40.806522,18,7.011566
-33.385821,18,7.118253
-36.068994,17,7.212495
-36.472422,21,7.351013
-40.353369,19,7.451073
-32.969524,22,7.553196
-32.021843,18,7.641973
-32.709109,20,7.760614
-34.08382,21,7.879884
-39.975602,21,8.012672
-33.577429,22,8.146472
-34.103859,22,8.28232
-33.432698,23,8.41664
-33.564078,20,8.529544
-37.992417,22,8.662897
-33.630143,19,8.770611
-39.536579,23,8.930711
-36.441756,20,9.051454
-39.887604,24,9.187171
-42.375041,29,9.361847
-37.765828,25,9.522566
-43.731996,50,9.808417
-38.019443,34,9.993026
-35.096615,25,10.12715
-35.31469,25,10.279767
-39.728324,24,10.424763
-33.639057,22,10.563787
-42.740668,29,10.75064
-33.318573,24,10.880617
-34.02713,32,11.099706
-34.289545,37,11.317439
-32.727078,29,11.48281
-55.041588,74,11.910585
-42.986567,50,12.175956
-34.880548,35,12.388394
-34.992013,43,12.644459
-35.196843,51,12.960629
-37.936596,47,13.264134
-34.423598,43,13.498773
-36.488518,50,13.808191
-41.509043,71,14.222767
-36.720458,88,14.771901
-33.485298,60,15.130947
-2.95424,1000,21.000746
20.130668,1000,26.785679
27.88875,1000,32.365786
110.993337,1000,37.704262
78.962658,1000,42.908824
65.353559,1000,47.959677
53.905231,1000,53.00169
91.778184,1000,58.704092
274.412739,1000,64.461356
105.132183,534,67.499033
332.937735,1000,73.103507
289.998836,1000,78.842738
312.757735,1000,84.675045
567.775303,1000,90.247074
537.562012,1000,96.084624
596.149543,1000,101.789886
605.005894,1000,107.472791
614.779128,1000,113.216552
