0.000000000000000000e+00,2.426107978337436501e-03,-2.005248600005189036e-02,-6.583622897176852340e-02
2.319069841264267962e-01,4.087073625063475033e-03,-3.378760889156687958e-02,-5.715252514407710427e-01
2.319069841264267962e-01,1.177204597176998921e-02,-1.951088746934930007e-01,-1.787978944614107835e-01
2.319069841264267962e-01,1.724175257229186922e-02,-1.902160592749598256e-01,-2.801348617928571816e-01
2.319069841264267962e-01,2.620773127202360997e-02,-2.171917170314851542e-01,1.920894297757790303e-01
2.319069841264267962e-01,3.306214018498432328e-02,-9.440760593921103394e-02,5.855726355649903958e-02
2.319069841264267962e-01,3.708787539595602423e-02,-4.851842474075219319e-02,-8.617331819602301601e-02
2.319069841264267962e-01,4.040064344229261917e-02,-5.981481998118824694e-02,-2.006943841380962601e-01
2.319069841264267962e-01,4.489535251595429960e-02,-1.020784718671229607e-01,-4.960542205922596759e-02
2.319069841264267962e-01,5.251573564259231358e-02,-8.633665638037187062e-02,-3.017570718846970257e-01
2.319069841264267962e-01,6.033037658455935037e-02,-1.509627452582164298e-01,-2.251429987724588022e-01
2.319069841264267962e-01,7.418424305579250644e-02,-1.732162800686901649e-01,-1.416464227477771121e-01
2.319069841264267962e-01,9.054091417012569143e-02,-1.637441023696930287e-01,-2.857361293481338049e-01
2.319069841264267962e-01,1.099642447696927289e-01,-2.003413622691619655e-01,-1.509012404309387212e-01
2.319069841264267962e-01,1.335170358028732740e-01,-1.855093232022688721e-01,1.124457352447909519e-04
2.319069841264267962e-01,1.579915884962423689e-01,-1.298227608851232895e-01,7.047267279540687934e-02
2.319069841264267962e-01,1.813642484034009572e-01,-6.973400835441648238e-02,2.151557857820928787e-01
2.319069841264267962e-01,2.014967747110270602e-01,1.573280380663177880e-02,2.987164493219910955e-01
2.319069841264267962e-01,2.191134609401109989e-01,1.006290812415110286e-01,3.694044636586660824e-01
2.319069841264267962e-01,2.295025598815736700e-01,1.812615814688866012e-01,3.498567884366733938e-01
2.319069841264267962e-01,2.387234436115355241e-01,2.318399477913277440e-01,5.370231360720347791e-01
2.319069841264267962e-01,2.410769291780489598e-01,3.233935534811005486e-01,3.895700754773411822e-01
2.319069841264267962e-01,2.372323243539921633e-01,3.432465667613458504e-01,2.827013116443664043e-01
2.319069841264267962e-01,2.261805778032185965e-01,3.250858091953438556e-01,-3.549914670480762424e-02
2.319069841264267962e-01,2.159574103940617718e-01,2.169107923536987559e-01,-7.864914430397908218e-02
2.319069841264267962e-01,2.119778668882201511e-01,1.282428135863389884e-01,-5.623054501647547360e-02
2.319069841264267962e-01,2.159323535178077902e-01,7.290287433632607061e-02,1.501087835590720343e-01
2.319069841264267962e-01,2.198676037844466968e-01,9.606468398838173550e-02,8.947122708716583050e-02
2.319069841264267962e-01,2.267233647608949132e-01,9.408406565430883772e-02,3.282535377631408680e-01
